C,classifier_name,classifier_params,feature_range,fill_value,fit_time,fold,imputer_name,imputer_params,penalty,predict_time,roc_auc,scaler_name,scaler_params,strategy,criterion,n_estimators
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(0, 1)",0.0,0.09616494178771973,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.015751123428344727,0.7770397541389907,MinMaxScaler,"feature_range=(0, 1)",constant,entropy,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(0, 1)",0.0,0.09537386894226074,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.023028850555419922,0.7033310201249133,MinMaxScaler,"feature_range=(0, 1)",constant,entropy,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(0, 1)",0.0,0.09177494049072266,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",,0.01271200180053711,0.7898601398601398,MinMaxScaler,"feature_range=(0, 1)",constant,entropy,30.0
0.01,LogisticRegression,"penalty=l1, C=0.01","(2, 3)",0.0,0.01543283462524414,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.009902000427246094,0.5015366313076237,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l1, C=0.01","(2, 3)",0.0,0.018100976943969727,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.009398937225341797,0.5,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l1, C=0.01","(2, 3)",0.0,0.016062021255493164,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.011422872543334961,0.5079420579420578,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(2, 3)",0.0,0.03138899803161621,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.015487909317016602,0.7846237731733915,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(2, 3)",0.0,0.024959087371826172,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.009274959564208984,0.7411024090413403,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(2, 3)",0.0,0.03391075134277344,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.009185075759887695,0.7787712287712287,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(2, 3)",0.0,0.01458883285522461,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.00885009765625,0.753345890750471,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(2, 3)",0.0,0.01717400550842285,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.01042318344116211,0.7182016456825617,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(2, 3)",0.0,0.018929719924926758,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.009502887725830078,0.6084915084915085,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(2, 3)",0.0,0.015650033950805664,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.008827924728393555,0.7808069792802617,MinMaxScaler,"feature_range=(2, 3)",constant,,
